board_id,player_to_move,is_unstable_pos,fixed_best_move,fixed_score,fixed_runtime_sec,selective_best_move,selective_score,selective_runtime_sec
0,-1,False,"((0, 1), (2, 0))",0,2.1846179962158203,"((0, 1), (2, 0))",0,23.219079732894897
1,1,False,"((7, 3), (5, 5))",100,4.928480386734009,"((4, 4), (3, 4))",0,54.940930128097534
2,-1,False,"((0, 1), (2, 2))",-100,9.629968166351318,"((0, 1), (2, 0))",0,52.91599655151367
3,1,True,"((7, 5), (3, 1))",100,19.656718015670776,"((4, 4), (3, 3))",100,3.0886411666870117
4,-1,True,"((3, 3), (4, 4))",-100,10.894586563110352,"((3, 3), (4, 4))",-100,0.21112608909606934
5,1,True,"((7, 3), (5, 5))",100,11.701374769210815,"((4, 4), (3, 3))",100,0.21197509765625
6,-1,True,"((0, 5), (4, 1))",0,8.993258237838745,"((0, 1), (1, 3))",0,4.726130962371826
7,1,True,"((7, 3), (5, 5))",100,9.009970426559448,"((6, 0), (5, 0))",0,0.18934249877929688
8,-1,True,"((0, 1), (2, 2))",-100,7.9101245403289795,"((1, 3), (3, 4))",-100,4.648532152175903
9,1,True,"((4, 3), (3, 2))",0,10.270304441452026,"((4, 3), (3, 2))",100,0.17019915580749512
10,-1,True,"((0, 3), (4, 7))",-100,9.066579818725586,"((1, 3), (3, 4))",-100,0.17534089088439941
11,1,True,"((4, 3), (3, 2))",0,15.75342059135437,"((4, 3), (3, 2))",100,0.2459723949432373
12,-1,True,"((3, 2), (4, 2))",-100,13.348125696182251,"((1, 3), (3, 4))",-100,0.2711296081542969
13,1,True,"((7, 3), (4, 0))",100,17.28949236869812,"((5, 2), (4, 3))",0,0.29507994651794434
14,-1,True,"((0, 0), (0, 1))",-100,13.136878967285156,"((1, 3), (3, 4))",-100,0.37855958938598633
15,1,True,"((7, 3), (4, 0))",200,11.493468046188354,"((3, 4), (2, 5))",100,0.2289116382598877
16,-1,True,"((0, 3), (3, 0))",-100,15.97112226486206,"((1, 3), (3, 4))",-100,0.27408695220947266
17,1,True,"((5, 5), (6, 3))",0,4.785804033279419,"((5, 5), (6, 3))",0,0.07667732238769531
18,-1,True,"((1, 3), (3, 4))",-100,22.113619565963745,"((4, 1), (6, 3))",-300,0.333160400390625
19,1,True,"((3, 4), (2, 5))",100,23.173020362854004,"((6, 3), (4, 1))",300,0.39659619331359863
20,-1,True,"((1, 3), (3, 4))",-100,24.40843677520752,"((4, 1), (6, 3))",-300,0.374039888381958
21,1,True,"((4, 3), (3, 4))",0,31.607176303863525,"((6, 3), (4, 1))",200,-2.112354040145874
22,-1,True,"((1, 3), (3, 4))",-100,25.134073734283447,"((4, 1), (6, 3))",-300,0.3879432678222656
23,1,True,"((5, 3), (1, 7))",100,25.901281595230103,"((6, 3), (4, 1))",300,0.3927278518676758
24,-1,True,"((0, 5), (5, 5))",-100,27.291702032089233,"((0, 5), (5, 5))",-300,0.4588348865509033
25,1,True,"((7, 0), (7, 2))",200,46.45501685142517,"((5, 3), (1, 7))",100,0.5286848545074463
26,-1,True,"((0, 6), (0, 7))",-100,41.64386820793152,"((0, 5), (5, 5))",-300,0.5028219223022461
27,1,True,"((5, 3), (1, 7))",300,53.1490683555603,"((6, 6), (5, 5))",200,0.5839951038360596
28,-1,True,"((1, 3), (0, 5))",100,29.535866737365723,"((1, 3), (3, 4))",100,0.3998384475708008
29,1,True,"((5, 3), (1, 7))",500,48.77683162689209,"((6, 2), (0, 2))",400,0.5335018634796143
30,-1,True,"((1, 4), (4, 7))",100,25.119148015975952,"((2, 1), (4, 3))",100,0.39037322998046875
31,1,True,"((5, 3), (1, 7))",500,35.67215943336487,"((6, 2), (0, 2))",400,0.5335566997528076
32,-1,True,"((0, 6), (0, 5))",-100,25.63314723968506,"((4, 3), (5, 3))",-200,0.49147605895996094
33,1,True,"((5, 3), (1, 7))",400,38.838202476501465,"((6, 2), (0, 2))",300,-2.108349323272705
34,-1,True,"((0, 6), (0, 5))",-200,2.371913433074951,"((0, 6), (0, 5))",100,0.04745030403137207
35,1,True,"((6, 3), (2, 7))",400,26.847577810287476,"((6, 2), (0, 2))",400,0.48490142822265625
36,-1,True,"((3, 4), (5, 5))",-300,27.869012117385864,"((4, 3), (6, 3))",-200,0.5237925052642822
37,1,True,"((6, 3), (7, 4))",400,35.86510753631592,"((6, 2), (0, 2))",400,0.5452325344085693
38,-1,True,"((4, 7), (1, 7))",-200,30.728816747665405,"((4, 7), (1, 7))",-200,0.47849416732788086
39,1,True,"((5, 2), (3, 4))",400,29.859650135040283,"((5, 2), (3, 4))",400,0.44197797775268555
40,-1,True,"((4, 7), (1, 7))",-200,15.98452115058899,"((4, 7), (1, 7))",-200,0.2870173454284668
